id,parent__id,term.de,term.en,definition.de,definition.en,abbreviations.en,abbreviations.de,synonyms.en,synonyms.de,iris,taxonomyURI,review.status__id,review.reviewer__contactsId,review.log
befidesh/acceleration/accelerating-process/plasma-based-acceleration/plasma-based_laser-driven_acceleration,befidesh/acceleration/accelerating-process/plasma-based-acceleration,plasmabasierte lasergetriebene Beschleunigung,Plasma-Based Laser-Driven Acceleration,"Plasmabasierte Beschleunigung unter Verwendung eines Laserpulses als störende Antriebskraft,","Plasma-based acceleration using a laser pulse as a perturbing driving force,",LWFA,LWFA,Laser wakefield acceleration,Laser-Plasma-Beschleunigung,"",befidesh,01: preparation,,
befidesh/accelerator-application/,befidesh/accelerator-application,Einsatzbereich von Beschleunigern,Accelerator Application,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/industrial-application/,befidesh/accelerator-application/industrial-application,Industrie,Industrial Applications,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/industrial-application/manufacturing,befidesh/accelerator-application/industrial-application,Produktion und Materialbearbeitung,Manufacturing And Materials Processing,"Die Ionenimplantation ist in der Halbleiterindustrie für die Herstellung von digitaler Elektronik von entscheidender Bedeutung. Die Ionenimplantation wird auch zur Härtung von Schneidwerkzeugen und künstlichen menschlichen Gelenken sowie zur Veränderung der Oberflächen von Keramiken und Gläsern eingesetzt. Von Beschleunigern erzeugte Elektronenstrahlen werden für die Vernetzung und Polymerisation von Materialien, die Aushärtung von Tinten und Klebstoffen und den 3D-Druck von Metallen eingesetzt.","Ion Implantation is critical in the semiconductor industry for the fabrication of digital electronics. Ion implantation is also used to harden cutting tools and artificial human joints, and to modify the surfaces of ceramics and glasses. Accelerator-generated electron beams are used for cross-linking and polymerisation of materials, curing of inks and adhesives, and 3D printing of metals.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/industrial-application/quality-control,befidesh/accelerator-application/industrial-application,Qualitätssicherung,Quality Control,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/industrial-application/sterilization,befidesh/accelerator-application/industrial-application,Sterilisation,Sterilization,"Beschleunigererzeugte Elektronen- und Röntgenstrahlen werden zur Sterilisierung medizinischer Geräte, zur Konservierung und Desinfektion von Lebensmitteln sowie zur Behandlung und Reinigung von Abwässern eingesetzt.","Accelerator-generated electron beams and X-rays are used to sterilise medical equipment, preserve and disinfect food, and treat and purify waste water.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/ion-beam-analysis,befidesh/accelerator-application,Ionenstrahlanalyse,Ion Beam Analysis,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/medical-application/,befidesh/accelerator-application/medical-application,Gesundheit ,Health Application,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/medical-application/proton-therapy,befidesh/accelerator-application/medical-application,Protonentherapie,Proton Therapy,Eine medizinische Anwendung von Beschleunigertechnologie,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/medical-application/radiosotope-production,befidesh/accelerator-application/medical-application,Radioisotopen-Produktion,Radiosotope Production,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/metrology,befidesh/accelerator-application,Metrologie,Metrology,Grundlagen der Metrologie/Radiometrie Metrologie für die Industrie/EUV-Lithographie Forschung und Entwicklung für optische Technologien/Weltrauminstrumente Materialmetrologie/Nanometrologie,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/science-application/,befidesh/accelerator-application/science-application,Forschung,Science,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/science-application/accelerator-research,befidesh/accelerator-application/science-application,Beschleunigerforschung,Accelerator Science,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/science-application/nuclear-physics,befidesh/accelerator-application/science-application,Hadronen- und Kernphysik,Hadron And Nuclear Physics,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/science-application/high-energy-physics,befidesh/accelerator-application/science-application,Teilchenphysik,High Energy Physics,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/science-application/matter-research/neutron-science,befidesh/accelerator-application/science-application/matter-research,Materieforschung mit Neutronen,Matter Research With Neutrons,Nutzung von Neutronen zur Materieforschung,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/science-application/matter-research/photon-science,befidesh/accelerator-application/science-application/matter-research,Materieforschung mit Photonen,Matter Research With Photons,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/security,befidesh/accelerator-application,Sicherheit,Security Applications,"Teilchenbeschleuniger spielen eine wichtige Rolle in verschiedenen sicherheitsrelevanten Bereichen. Durch die Erzeugung hochenergetischer Strahlen (z. B. Elektronen, Röntgenstrahlen, Gamma- oder Neutronenstrahlen) ermöglichen sie sowohl die Erkennung als auch die Abwehr von Bedrohungen",,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-method/,befidesh/accelerator-research-method,Methode der Beschleunigerforschung,Accelerator Research Method,"Als interdisziplinäres Gebiet bedient sich die Beschleunigerforschung und -entwicklung eines breiten Spektrums von Methoden aus den Naturwissenschaften, der Informatik, der Mathematik und den Ingenieurwissenschaften.","As an interdisciplinary field, accelerator research and development draws on a wide range of methods from the natural sciences, computer science, mathematics and engineering.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-subfield/beam-dynamics,befidesh/accelerator-research-subfield,Strahldynamik,Beam Dynamics,"Die Strahldynamik befasst sich mit dem Verständnis und der Kontrolle des Verhaltens von Teilchenstrahlen in Beschleunigern. Dazu gehören die Untersuchung von Teilchenbewegungen und -flugbahnen, die Entwicklung von Techniken zur Strahlfokussierung und -lenkung sowie die Analyse von Strahlinstabilitäten und deren Eindämmung.","Beam dynamics focuses on understanding and controlling the behaviour of particle beams in accelerators. This includes the study of particle motion and trajectories, the development of beam focusing and steering techniques, and the analysis of beam instabilities and their mitigation.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-subfield/cryogenic-engineering,befidesh/accelerator-research-subfield,Kältetechnik,Cryogenic Engineering,"Kältetechnik befasst sich mit Temperaturen um -160 °C und darunter, bei denen Gase eine flüssige Form annehmen und als „kryogen“ bezeichnet werden. Sie befasst sich mit der Verflüssigung von Gasen wie Stickstoff, ihrer Lagerung und ihrer Lieferung an den Ort der Verwendung. In der Beschleunigerforschung spielt die Kältetechnik eine entscheidende Rolle für den Betrieb von Beschleunigern mit supraleitenden Komponenten.","Cryogenic engineering focuses on temperatures around -160°C and below, where gases take on a liquid form and are referred to as ""cryogenic"". It involves the study of the liquefaction of gases such as nitrogen, their storage and their delivery to the point of use. In accelerator research, cryogenics plays a vital role in the operation of accelerators with superconducting components.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-subfield/geodesy-and-alignment,befidesh/accelerator-research-subfield,Vermessung und Justierung,Geodesy And Alignment,"Vermessung und Justierung spielen eine entscheidende Rolle beim Erreichen der extremen Präzision, die für moderne Teilchenbeschleuniger erforderlich ist, und wirken sich direkt auf  Strahlqualität und  Versuchsergebnisse aus. Die Vermessung definiert die Koordinatenreferenzsysteme, zu denen alle Komponenten positioniert werden. Die relative Justierung erfordert oft eine Genauigkeit im Submillimeterbereich über große Entfernungen und jahrelange Betriebsdauer.","Geodesy and alignment play a critical role in achieving the extreme precision required for modern particle accelerators, directly affecting beam quality and experimental results. Geodesy defines the coordinate reference systems to which all components are positioned. Relative alignment often requires sub-millimetre accuracy over long distances and years of operation.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-subfield/instrumentation-and-diagnostics,befidesh/accelerator-research-subfield,Strahldiagnose und Instrumentierung,Beam Diagnostics And Instrumentation,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-subfield/magnet-technology,befidesh/accelerator-research-subfield,Magnetentwicklung und -optimierung,Magnet Development And Optimization,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-subfield/operations-and-control,befidesh/accelerator-research-subfield,Beschleunigerbetrieb und -kontrolle,Accelerator Operation And Control,"Der Bereich Beschleunigerbetrieb und -steuerung umfasst die Entwicklung von Steuerungssystemen für den Beschleunigerbetrieb, die Verbesserung der Zuverlässigkeit und Effizienz von Beschleunigern und die Anwendung von Techniken des maschinellen Lernens zur Optimierung von Beschleunigern.","Accelerator operations and control includes developing control systems for accelerator operations, improving accelerator reliability and efficiency, and implementing machine learning techniques for accelerator optimization.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-subfield/vacuum-technology,befidesh/accelerator-research-subfield,Vakuumtechnik,Vacuum Technology,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/,befidesh/accelerator-component,Beschleunigerkomponente,Accelerator Component,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/beam-monitor/,befidesh/accelerator-component/beam-monitor,Strahlmonitor,Beam Monitoring,"Strahlmonitore sind wichtige Diagnoseinstrumente, die in Teilchenbeschleunigern eingesetzt werden, um das Verständnis und die Optimierung von Teilchenstrahlen zu gewährleisten. Je nachdem, ob die Position, die Energie oder die Intensität von Teilchenstrahlen oder das Quer- oder Längsprofil von Teilchenpaketen gemessen werden soll, kommen verschiedene Arten von Instrumenten zum Einsatz.","Beam monitors are essential diagnostic instruments used in particle accelerators to ensure understanding and optimisation of particle beams. Different types of instruments are employed depending on whether the position, energy or intensity of particle beams, or the transverse or longitudinal profile of particle bunches are to be measured.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/beam-monitor/energy-monitor,befidesh/accelerator-component/beam-monitor,Strahl Energie Monitor,Beam Energy Monitor,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/beam-monitor/halo-monitor,befidesh/accelerator-component/beam-monitor,Strahl-Halogen-Monitor,Beam Halo Monitor,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/collimator,befidesh/accelerator-component,Kollimator,Collimator,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/laser,befidesh/accelerator-component,Laser,Laser,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/magnet,befidesh/accelerator-component,Magnet,Magnet,Magnete erfüllen in Teilchenbeschleunigern wichtige Funktionen. Dipolmagnete lenken die Flugbahn geladeneer Teilcehn ab und ermöglichen ringförmige Anlagen sowie die Extraktion von Teilchen. Quadrupolmagnete dienen der Fokussierung der Teilchenstrahlen. Sextupolmagnete und weitere Korrekturmagnete dienen der Feinanpassung.,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/magnet/dipole-magnet,befidesh/accelerator-component/magnet,Dipolmagnet,Dipole Magnet,Dipolmagnete erzeugen ein homogenes Magnetfeld zur Strahlablenkung. as Magnetfeld muss präzise an die Art der Teilchen und deren Geschwindigkeit angepasst werden,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/magnet/kicker-magnet,befidesh/accelerator-component/magnet,Kicker-Magnet,Kicker Magnet,"Ein Kickermagnet ist ein spezialisierter Elektromagnet, der in Teilchenbeschleunigern verwendet wird, um Teilchenstrahlen schnell abzulenken oder umzuleiten. Sie erzeugen kurze, rechteckige Magnetfeldpulse mit sehr schnellen Anstiegs- und Abfallzeiten (typischerweise 10-100 Nanosekunden). Dadurch lassen sich einzelne Teilchenopakete in einen Teilchenstrahl einbringen oder aus ihm extrahieren. Kickermagnete spielen eine entscheidende Rolle bei der präzisen Kontrolle und Manipulation von Teilchenstrahlen in modernen Beschleunigeranlage",,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/magnet/quadrupole-magnet,befidesh/accelerator-component/magnet,Quadrupol-Magnet,Quadrupole Magnet,"Ein Quadrupolmagnet ist eine spezielle Anordnung von vier Magnetpolen, die in Teilchenbeschleunigern und Strahlführungen zur Fokussierung von Teilchenstrahlen eingesetzt wird.  Er fokussiert den Strahl in einer Richtung (z. B. horizontal) und defokussiert ihn in der dazu senkrechten. Um eine Gesamtfokussierung zu erreichen, werden mehrere Quadrupole hintereinander angeordnet (FODO-Struktur).",,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/magnet/sextupole-magnet,befidesh/accelerator-component/magnet,Sextupol-Magnet,Sextupole Magnet,"Ein Sextupolmagnet besteht aus sechs Magnetpolen, die abwechselnd als Nord- und Südpol um eine Mittelachse angeordnet sind. Sie werden oft in Kombination mit Quadrupolmagneten verwendet, um Fokussierungsfehler, die durch Energieunterschiede der Teilchen entstehen, auszugleichen (chromatische Abberation).",,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/power-converters,befidesh/accelerator-component,Stromwandler,Power Converter,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/,befidesh/accelerator,Beschleuniger,Accelerator,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/accelerator-complex,befidesh/accelerator,Beschleunigerkomplex,Accelerator Complex,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/cyclotron,befidesh/accelerator,Zyklotron,Cyclotron,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/cyclotron/sector-cyclotron,befidesh/accelerator/cyclotron,Sektor-Zyklotron,Sector Cyclotron,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/electrostatic-accelerator/,befidesh/accelerator/electrostatic-accelerator,Elektrostatischer Beschleuniger,Electrostatic Accelerator,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/electrostatic-accelerator/cockcroft-walton-accelerator,befidesh/accelerator/electrostatic-accelerator,Cockcroft-Walton-Beschleuniger,Cockcroft-Walton Accelerator,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/electrostatic-accelerator/dynamitron-accelerator,befidesh/accelerator/electrostatic-accelerator,Dynamitron-Beschleuniger,Dynamitron Accelerator,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/electrostatic-accelerator/pelletron-accelerator,befidesh/accelerator/electrostatic-accelerator,Pelletron-Beschleuniger,Pelletron Accelerator,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/electrostatic-accelerator/tandem-van-de-graaff-accelerator,befidesh/accelerator/electrostatic-accelerator,Tandem Van de Graaff Beschleuniger,Tandem Van De Graaff Accelerator,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/electrostatic-accelerator/van-de-graaff-accelerator,befidesh/accelerator/electrostatic-accelerator,Van-de-Graaff-Beschleuniger,Van De Graaff Accelerator,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/microtron,befidesh/accelerator,Mikrotron,Microtron,"Beschleuniger für vor allem Elektronen, bei dem die Teilchen wiederholt durch dieselbe Beschleunigungskomponente (in der Regel ein Mikrowellenresonator) beschleunigt werden. Die Wiederverwendung der Beschleunigungskomponente wird durch ein konstantes Magnetfeld ermöglicht, das die Teilchen auf einer geschlossenen Bahn hält. Mit zunehmender Teilchenenergie nimmt auch die Größe der Bahn zu. Die erreichbaren Energien sind daher durch die Größe des Geräts und die Magnetstärke begrenzt.","Accelerator, primarily for electrons, in which the particles are repeatedly accelerated by the same acceleration component (usually a microwave resonator). The reuse of the acceleration component is made possible by a constant magnetic field, which keeps the particles on a closed path. As the particle energy increases, the size of the path also increases. The achievable energies are therefore limited by the size of the device and the magnetic strength.","","","","","",befidesh,01: preparation,,
befidesh/accelerator/linear-accelerator/,befidesh/accelerator/linear-accelerator,Linearbeschleuniger,Linear Accelerator,,,"","",linac,Linac,"",befidesh,01: preparation,,
befidesh/accelerator/linac/high-power-proton-linac,befidesh/accelerator/linac,Hochleistungs-Protonen-Linac,High Power Proton Linac,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/particle-decelerator,befidesh/accelerator,Teilchenverlangsamer,Particle Decelerator,"Ein Teilchenverlangsamer ist eine Art von Teilchenbeschleuniger, der Teilchen abbremst, anstatt sie zu schneller zu machen. Der Hauptzweck von Teilchenverzögerern besteht darin, Teilchen mit sehr niedriger Energie für präzise Messungen und Studien zu erzeugen, insbesondere in der Antimaterieforschung. Dies ermöglicht physikalische Grundlagenforschung, CPT-Symmetrietests und potenzielle Anwendungen wie die Krebstherapie mit Antimaterie.","A particle decelerator is a type of particle accelerator designed to slow down particles rather than speed them up. The main purpose of particle decelerators is to produce very low-energy particles for precise measurements and studies, particularly in antimatter research. This enables fundamental physics research, CPT symmetry tests and potential applications such as antimatter-based cancer therapy.","","","","","",befidesh,01: preparation,,
befidesh/accelerator/synchrotron/storage-ring/,befidesh/accelerator/synchrotron/storage-ring,Speicherring,Storage Ring,"Ein Beschleuniger, der auf dem Synchrotron-Prinzip beruht und dafür optimiert ist, einen Teilchenstrahl über einen Zeitraum von normalerweise einigen Stunden auf einer bestimmten Energie zu halten. ","An accelerator based on the synchrotron principle and optimized to maintain a particle beam at a certain energy over a period of time, usually several hours. ","","","","","",befidesh,01: preparation,,
befidesh/accelerator/synchrotron/,befidesh/accelerator/synchrotron,Synchrotron,Synchrotron,,,"","","An accelerator in which charged particles follow a fixed,closed-loop path by means of bending magnets. Because the kinetic energy of the particles is repeatedly increased by accelerating components,the magnetic field strength must be synchronously increased.","Ein Beschleuniger,in dem geladene Teilchen mit Hilfe von Ablenkmagneten eine fixe,in sich geschlossene Bahn verfolgen. Da die kinetische Energie der Teilchen durch Beschleunigungskomponenten immer wieder erhöht wird,muss die Magnetfeldstärke synchron erhöht werden.","",befidesh,01: preparation,,
befidesh/accelerator/synchrotron/booster-synchrotron,befidesh/accelerator/synchrotron,Booster-Synchrotron,Booster Synchrotron,"Ein Synchrotron, das als Vorbeschleuniger für ein größeres Synchrotron dient. ",A synchrotron that serves as a pre-accelerator for a larger synchrotron. ,"","","","","",befidesh,01: preparation,,
befidesh/facility/,befidesh/facility,Forschungsanlage,Research Facility,"Eine Forschungsanlage ist ein von einem Anbieter organisi rter Service, der Mittel für die Durchführung von Forschungs-, Versuchs- oder Entwicklungstätigkeiten bereitstellt.","A research facility is a service organized by a host that provides the means for conducting research, testing or development activities.","","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/,befidesh/facility/accelerator-based-facility,Beschleunigerbasierte Anlage,Accelerator-based facility,"Anlage, in der ein oder mehrere Beschleuniger zur Erzeugung von Teilchenstrahlen zum Einsatz kommen.",Facility in which one or more accelerators are used to generate particle beams.,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/accelerator-mass-spectrometer,befidesh/facility/accelerator-based-facility,Beschleuniger-Massenspektrometer,Accelerator Mass Spectrometer,"Eine beschleunigerbasierte Anlage, die einen Teilchenbeschleuniger, in der Regel einen Tandem-Beschleuniger, zur Messung seltener Isotope in extrem niedrigen Konzentrationen in kleinen Proben verwendet.","An accelerator-based facility that uses a particle accelerator, typically a tandem accelerator, to measure rare isotopes at extremely low concentrations in small samples.",AMS,AMS (accelerator mass spectrometer,"","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/medical-facility/,befidesh/facility/accelerator-based-facility/medical-facility,Medizinische Anlage,Medical Facility,,,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/medical-facility/beam-therapy/,befidesh/facility/accelerator-based-facility/medical-facility/beam-therapy,Strahlentherapeutische Einrichtung,Radiation Therapy Facility,,,"","","",Strahlentherapie,"",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/medical-facility/beam-therapy/electron-beam-therapy,befidesh/facility/accelerator-based-facility/medical-facility/beam-therapy,Anlage für Elektronenbestrahlungstherapie,Electron Beam Therapy Facility,,,"","","",Elektronenbestrahlungstherapie,"",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/medical-facility/beam-therapy/photon-beam-therapy,befidesh/facility/accelerator-based-facility/medical-facility/beam-therapy,Anlage für Photonenbestrahlungstherapie,Photon Radiation Therapy Facility,,,"","","",Photonen-Bestrahlungstherapie,"",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/medical-facility/beam-therapy/proton-beam-therapy,befidesh/facility/accelerator-based-facility/medical-facility/beam-therapy,Anlage für Protonenbestrahlungstherapie,Proton Beam Therapy Facility,,,"","","",Protonenbestrahlungstherapie,"",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/medical-facility/radioisotope-cyclotron,befidesh/facility/accelerator-based-facility/medical-facility,Laborzyklotron zur Erzeugung von Radionukliden oder für die Protonentherapie,Radioisotope Cyclotron,,,"","",Radioisotope Cyclotron,Laborzyklotron,"",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/neutron-source/,befidesh/facility/accelerator-based-facility/neutron-source,Neutronenquelle,Neutron Source,,,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/neutron-source/compact-accelerator-based-neutron-source,befidesh/facility/accelerator-based-facility/neutron-source,Kompakte Beschleuniger-Neutronenquelle,Compact Accelerator Neutron Source,,,CANS,CANS,"","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/neutron-source/spallation-neutron-source,befidesh/facility/accelerator-based-facility/neutron-source,Spallationsneutronenquelle,Spallation Neutron Source,,,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/particle-collider/,befidesh/facility/accelerator-based-facility/particle-collider,Teilchen-Collider,Particle Collider,"In einem Teilchen-Collider werden zwei entgegengesewtzt beschleunigte Teilchenstrahlen zusammenführt, so dass die Teilchen miteinander kollidieren können. Im Vergleich zu Anlagen, bei denen ein beschleungter Teilchenstrahl auf ein ruhendes Ziel stößt, können Collider höhere Kollisionsenergien erreichen. Kollider können entweder aus Ringbeschleunigern oder Linearbeschleunigern bestehene.",,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/particle-collider/circular-particle-collider,befidesh/facility/accelerator-based-facility/particle-collider,Ring-Collider,Circular Particle Collider,,,"","","","","",befidesh,01: preparation,,
